Title,Genre,Series or Movie,Director,Writer,Actors,IMDb Score,Release Date,IMDb Link,Summary,Image
Nigerian Prince,"Crime, Drama, Thriller",Movie,Faraday Okoro,"Andrew Long, Faraday Okoro","Antonio J Bell, Bimbo Manuel, Tina Mba, Chinaza Uche",5.6,24 Apr 2018,https://www.imdb.com/title/tt6851966,"When a stubborn American teenager is sent to Nigeria by his mother, his cousins scamming business becomes a viable option for securing a return flight.",https://occ-0-300-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTVkSRgaFQ1NfLZomn2rSCVxzEVPEi9oToaGpg8raTlzGLicUJYuE6QkeaBk2cYx73EuRcuxz-9nYur235JAOB5h1Q.jpg?r=1da
Bread Barbershop,Animation,Series,,,"Elinor Vanderburg, Courtney Shaw, Barrett Leddy, Marc Thompson",8.5,15 Aug 2020,https://www.imdb.com/title/tt12912830,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",https://occ-0-300-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQPaly4GA0CdqUh4cPQrtNSbjVEVQQJlOT7BuyQK1lIJnEYWcUrQb6TaKaPlmO9430Yu8_YvpZbB3XtsGx4APxzkNQ.jpg?r=2a2
Ackley Bridge,"Drama, Romance",Series,,"Malcolm Campbell, Ayub Khan-Din, Kevin Erlis","Lorraine Cheshire, Jo Joyner, Amy-Leigh Hickman, Sunetra Sarker",7.2,07 Jun 2017,https://www.imdb.com/title/tt6636246,"After years of segregation, two Yorkshire schools merge into one, leading to some intense culture clashes and, just maybe, some unexpected friendships.",https://occ-0-300-299.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABfB7tLNruV5mhbzOt19-a-iYWuEPOMrHTspMXcLRpCowfpVPlOCJR3D54Npa845644ZPhOc0dM-AANUvmIeV_5kKFjjdCokMcPi3SSTApokg7Ls.jpg?r=61e
Teenage Bounty Hunters,"Comedy, Crime, Drama",Series,,Kathleen Jordan,"Maddie Phillips, Kadeem Hardison, Anjelica Bette Fellini, Virginia Williams",7.7,14 Aug 2020,https://www.imdb.com/title/tt10584608,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,https://occ-0-300-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXVKeaOoq-b9TayVZvD4z7aLzmoOTtpDbX5UN5r9Q0h_20kh2yR1_liSgvLTYshgOtjpg2kvhFfSvEHIrMDn-r_n3fulQeD4Kv5OeWp3R07QPpf3Fl32fGoDjxw.jpg?r=cca
The Great Heist,"Crime, Drama, Thriller",Series,,"Pablo Gonzalez, C.S. Prince","Waldo Urrego, Christian Tappan, Andrés Parra, Marcela Benjumea",7.3,14 Aug 2020,https://www.imdb.com/title/tt12624844,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombias Bank of the Republic. Inspired by true events.",https://occ-0-300-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdJb9WIWDsSiSwG5b8nlqqWAgWQ1vgXvMth0V28HI1088fiOhGpjVBuoy-HzROaBkECXP6cMxVaOBKit94xnl5Uhv3ax3BaPEq3e5_cknhMgLcik7OUIdnugdlA.jpg?r=271
Baba Parasi,Comedy,Movie,Selçuk Aydemir,Selçuk Aydemir,"Seher Devrim Yakut, Rasim Öztekin, Murat Cemcir, Ahmet Kural",4.5,01 Jan 2020,https://www.imdb.com/title/tt10549312,"After their fathers death, siblings with nothing in common vie with each other to unlock a safe containing the family inheritance.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ8dp0rX6U6iN6XK-Qa1Ea-KT4ASSnQEA7DDRd4YQoYK7TEObWsYakOHeGJQjWA2N_a7VIaUQvVHwPjJI-JXru6_OA.jpg?r=ed9
Project Power,"Action, Crime, Sci-Fi, Thriller",Movie,"Henry Joost, Ariel Schulman",Mattson Tomlin,"Jamie Foxx, Dominique Fishback, Joseph Gordon-Levitt, Rodrigo Santoro",6.0,14 Aug 2020,https://www.imdb.com/title/tt7550000,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW8o-aVMkcBQTXLHHjpuCzAi7YyBndAiT_LnXgM8Gn4MrU9scXXHoN9FUIv-GJ-8UpHEW1tfbexlMGLakT835dP0CA.jpg?r=5ae
Fearless,"Action, Biography, Drama, Sport",Movie,Ronny Yu,"Richard Epcar, Chi-long To, Chris Chow","Jet Li, Yong Dong, Yun Qu, Li Sun",7.6,22 Sep 2006,https://www.imdb.com/title/tt0446059,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT1mpi9E2jKto4GvdClZQHSfhI2P-Pt2tKBbCBr8_0yLw34POmmUacDMSxq_PnyyLdd-TXKzrtpJkZTDeniAhu9Ph7VbNKUxvGhN4DBpgKzJInB4gxsB99BxCY4.jpg?r=c21
(Un)Well,Documentary,Series,,,Jennifer Julian,6.4,12 Aug 2020,https://www.imdb.com/title/tt12759384,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWRv3-ACyh1kGf6M3G2w4KftfhPqxWD3u1b59EJ24qlu6odfTW14W8otw0Ncf-WI4ifY4QR5NKnrDDDlqzsbjS5-4Pd6rUY4Igi1MAY4aSDe3n9904GNYuPQqK0.jpg?r=722
Kongsuni and Friends,Animation,Series,,,"Nathan Hunt, Nikki Rae Hallow, Josh Friesen, Caitlynne Medrek",3.9,22 Aug 2017,https://www.imdb.com/title/tt9529810,A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.,https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZc9cedohBEX_lg1Vyc37eFINC5Rm8Z45FOihrKNu_vO2HEac3uvNy9YhoF2Pk-quu_V7d72Aljtfm6-aDEMPvWeiQ.jpg?r=c82
"Rob Schneider: Asian Momma, Mexican Kids",Comedy,Movie,Tyler Spindel,,"Elle King, Rob Schneider",5.4,11 Aug 2020,https://www.imdb.com/title/tt12724632,"Former ""Saturday Night Live"" star Rob Schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special.",https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABScC3IiCtvp1uboxijzrZmKPAct0F1NTH7RTKo0It8LwRvAHHrMGvNfH-LgD7tbCyeCGlLICCawgldqQG-H40_kfysE8CNUf4W7h0cptQa85hiuNur3SmYJshhU.jpg?r=721
Killing Hasselhoff,Comedy,Movie,Darren Grant,"Mike O'Connell, Peter Hoare","David Hasselhoff, Jim Jefferies, Colton Dunn, Ken Jeong",4.5,29 Aug 2017,https://www.imdb.com/title/tt2967226,"In major debt to a loan shark, a nightclub owner whos entered in a celebrity death pool tries to murder a famous figure for half a million dollars.",https://occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ_h2zVkCBrR4HEsOZdkfmkeWS-ak_u_fs2pLT1EfG8q2N-ZLFktvzEsnmub7ZVd576t5aFnuMAcSVAbw3WcW1IaYg.jpg?r=78d
Moesha,"Comedy, Drama, Family",Series,,"Sara Finney-Johnson, Vida Spears","Lamont Bentley, William Allen Young, Marcus T. Paulk, Brandy Norwood",5.8,23 Jan 1996,https://www.imdb.com/title/tt0115275,"Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together.",https://occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWA7hrFv0M7ZJTrBOvLZRc6HdPvIyg_9m5UYc0aoF7QLtkv5VHZrMa24iAzTJ4GRxrPXC_f9uL8CkDJmdTSY--3TQg.jpg?r=e67
Supermarket Sweep,"Family, Game-Show",Series,,Al Howard,"Johnny Gilbert, Randy West, David Ruprecht",7.5,05 Feb 1990,https://www.imdb.com/title/tt0180384,"In this iconic game show, contestants answer food trivia questions then race against the clock while stuffing their carts for massive grocery gains.",https://occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcj8kRMw9AaKnvpcPYi8YU3lh4PlvCZjxPf7GN50NbAIrN5CNF_iErFtpWMk8LAx_bjq--Ah5WXLsWg30gBrjwHGbw.jpg?r=baf
Takki,Drama,Series,,,Mohammed Balkhi,7.3,20 Feb 2012,https://www.imdb.com/title/tt6052432,"In Jeddah, Saudi Arabia, a young aspiring filmmaker and his circle of friends grapple with family expectations, gender roles, romance and rivalry.",https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfvXOrTtFn44zYOMfTi2Ie8JrzYOcOpeR1BUx9DZ3L7tzg2uQYoAUuP8ZHe62me4aqMp03cNFm1KfJIU9KL1PFu95A.jpg?r=aac
Where Do I Come From?,Short,Series,Earlene Stevens,Earlene Stevens,Earlene Stevens,,,https://www.imdb.com/title/tt1598736,An aspiring novelist with the ability to read people’s thoughts gets embroiled with an old friend who’s now an elite member of the yakuza.,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXFkhwQ5XwJFM5T8h45SpcsaFCwxMTba0G2q2-HLHURWYQCPU7mAOXRW-_gUxrU_6WUHgDVySUBZxNfdinR_jbBOGg.jpg?r=e8e
Tada Never Falls In Love,"Animation, Comedy, Romance",Series,,,"Mamoru Miyano, Josh Grelle, Manaka Iwami, Yûichi Nakamura",7.1,03 Apr 2018,https://www.imdb.com/title/tt8249034,A quiet high schooler passionate about photography meets a European transfer student named Teresa and falls in love for the first time.,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQdlnrg-pJ_kHubdOi4y4pZT6eIcCB3fMVHmF19lT3t3rfgfEITf-_t_BJQicX9_OotDa3MmGT0Caetc8_OGB_BeFQ.jpg?r=0e0
Kanto Wanderer,"Action, Crime",Movie,Seijun Suzuki,"Yasutarô Yagi, Taiko Hirabayashi","Akira Kobayashi, Hiroko Itô, Daisaburô Hirata, Chieko Matsubara",6.9,23 Nov 1963,https://www.imdb.com/title/tt0057219,"A crime bosss bodyguard spends most of his time keeping a watchful eye on his employers archrival, who repeatedly tries to expand his territory.",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUH0tSaW8L05Ictoj3OeZK1Ma01b4qpWk9yTyxNzofJjqP2159uJs3J2fJfYsbYqWCE4gkU_a81Dy-RTWVde5AYvSQ.jpg?r=8d0
Million Joe,Adventure,Series,,,Hiromitsu Kitayama,,09 Oct 2019,https://www.imdb.com/title/tt10607236,"When the artist of a blockbuster manga series suddenly dies, his editor conceals his passing to see the unfinished story through to the end.",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTOmQckGLaCaxgR4o5cbVb1gPUCnNcT6gfBgmrnDkpJxatjJYdMXgxDVwyfhm2elIK9396VXHQZvsSfV6H2A-D_sPw.jpg?r=812
Man Who Causes a Storm,Drama,Movie,Umetsugu Inoue,"Umetsugu Inoue, Dai Nishijima","Kyôji Aoyama, Fukuko Sayo, Mie Kitahara, Yûjirô Ishihara",6.1,29 Dec 1957,https://www.imdb.com/title/tt0160007,"On the glittering, dangerous streets of Ginza, a rebellious young jazz drummer with unstoppable talent claws his way to the top.",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfyE7o4aNf4RaJ8zYWkYs_qUxA1jQI3GsTQnf4jJpnKzCDA5X4CsEPh-C74IknNWt04K41BxiCq3jJmFYOccmgh8Ug.jpg?r=fc5
