Title,Genre,Series or Movie,Director,Writer,Actors,IMDb Score,Release Date,IMDb Link,Summary,Image
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance",Series,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",7.9,12 Dec 2008,https://www.imdb.com/title/tt1139797,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0
HOW TO BUILD A GIRL,Comedy,Movie,Coky Giedroyc,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",5.8,08 May 2020,https://www.imdb.com/title/tt4193072,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_fxMSBM1E-sSoszr12SmkI-498sqBWrEyhkchdn4UklQVjdoPS_Hj-NhvgbePvwlDSzMTcrIE0kgiy-zTEU_EaGg.jpg?r=35a
Centigrade,"Drama, Thriller",Movie,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza",4.3,28 Aug 2020,https://www.imdb.com/title/tt8945942,"Trapped in a frozen car during a blizzard, a pregnant woman and her husband fight to survive while the temperatures plummet. Inspired by a true story.",https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW-fG-2_s3pGsBdbw4nLCWENcRKL2Ngj7Kv5_QQVgZ--GT8eg-BlyJZM9ZaAg5kAYHefo77975PKaTZ3Yza1zLQwgQ.jpg?r=66b
ANNE+,Drama,Series,,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",6.5,01 Oct 2016,https://www.imdb.com/title/tt6132758,"Upon moving into a new place, a 20-something runs into a former flame that triggers memories of past relationships since their split four years ago.",https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeq3p0f50KPNQTYmozdPUenqXI3bh6Hadry-yMpooR0_Hm2VzUqIzq1V7oihe9ImLxaZC72w9HttdBRoORQT-WVkaA.jpg?r=f82
Moxie,"Animation, Short, Drama",Movie,Stephen Irwin,,Ragga Gudrun,6.3,22 Sep 2011,https://www.imdb.com/title/tt2023611,"Inspired by her moms rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb72YCHDSHzrB8i5_iG56UFm-qV2bslRyMHIqZ4tmlIpeVtMsqAyUem6JAxXtV4Ec9jlA4EpTdf5tNX2ivyLUwmPy4d3xowFdJE63MPXbWu8kAnc-j9qhAZrmMI.jpg?r=fad
The Con-Heartist,"Comedy, Romance",Movie,Mez Tharatorn,"Pattaranad Bhiboonsawade, Thodsapon Thiptinnakorn, Mez Tharatorn","Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",7.4,03 Dec 2020,https://www.imdb.com/title/tt13393728,"After her ex-boyfriend cons her out of a large sum of money, a former bank employee tricks a scam artist into helping her swindle him in retaliation.",https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSj6td_whxb4en62Ax5EKSKMl2lTzEK5CcBhwBdjRgF6SOJb4RtVoLhPAUWEskuOxPiaafxU1qauZDTJguwNQ9GstA.jpg?r=e76
Gleboka woda,Drama,Series,,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",7.5,14 Jun 2011,https://www.imdb.com/title/tt2300049,A group of social welfare workers led by their new director tries to provide necessary aid to people struggling with various problems.,https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSxWH_aWvJrqXWANpOp86kFpU3kdpqx9RsdYZZGHfpIalSig2QHKaZXm8vhKWr89-OLh5XqzIHj_5UzwNriADy19NQ.jpg?r=561
Instynkt,Crime,Series,,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",3.9,03 Mar 2011,https://www.imdb.com/title/tt1973421,"An enigmatic commissioner joins the Warsaw Police, where her unconventional investigation methods unsettle the officers in the homicide department.",https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUOq8KM0VPlrak8DpkXjMWY28qjpsdG_WT1ee8BDyBmk8X2453s0gQuHGVvV-D0OT-yq6C07b31Z2s-2MesSDaY1CQ.jpg?r=666
Only a Mother,Drama,Movie,Alf Sjöberg,Ivar Lo-Johansson,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",6.7,31 Oct 1949,https://www.imdb.com/title/tt0041155,An unhappily married farm worker struggling to care for her children reflects on her lost youth and the scandalous moment that cost her true love.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdpOFktQ4Z3klQEU2XQc9NWompf70CHEGLPIeBdCGGLDhvy1Mqly5552DUYR5-5M77STCj8rPvCbXltOcTj53olEzA.jpg?r=c84
Snowroller,Comedy,Movie,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",6.6,04 Oct 1985,https://www.imdb.com/title/tt0090115,"Two friends take a ski trip to the Alps, where they enjoy the outdoors and try to charm two women also on vacation.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQoql2u62H3BqwAhwJWTF-F0QIaG7dmZiMx8WDff2YUSCX-Sgo072F5HPosZbBJTcYQBjNACBHurAbB40rPQxWBrzQ.jpg?r=667
Sunes Summer,"Comedy, Family, Fantasy",Movie,Jon Holmberg,"Jon Holmberg, Daniella Mendel-Enk, Sara Young, Anders Jacobsson, Sören Olsson","Elis Gerdt, Tea Stjärne, Fredrik Hallgren, Baxter Renman",5.5,30 Nov 2018,https://www.imdb.com/title/tt7474512,A family camping trip goes awry for a boy and his accident-prone relatives in this comedy based on the book series by Anders Jacobsson and Sören Olsson.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaD7okaKJ-qDqOtq3DB1OQCDbHrO-30BU4tb6c8Afret4MB9BKjn7fIqm1pRBDG2-BEV0XUMyNLk30G_dCErvt_G_g.jpg?r=d20
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller",Movie,David S. Goyer,"Christine Roum, Mats Wahl, Mick Davis","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",6.2,27 Apr 2007,https://www.imdb.com/title/tt0435670,"Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT4CgikQDwLNg_HIlP0G50p7X0H52kcxOjHouEzeNBOfFPw09TWvHjEsYik1kGHzPrRlmEysonrVtPCBpLruAWAypw.jpg?r=3be
The Simple Minded Murderer,Drama,Movie,Hans Alfredson,Hans Alfredson,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",7.6,01 Sep 1985,https://www.imdb.com/title/tt0083888,"A good-natured farmhand, perpetually terrorized by his cruel boss for his disability, finds love and acceptance when a poor family takes him in.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABSCbJSjrtL9_AKGjIFM4AsWtMnMCsEVPEx3tX4VugQFx6mTzI5UiuadI6r5pPgrLpk1Re74mXg6BBBn_ezxWIHT1sJ_CBnhLnahp8_wOWjf9rc4.jpg?r=17a
The Stig-Helmer Story,"Comedy, Drama",Movie,Lasse Åberg,Lasse Åberg,"Jon Skolmen, Ida Högberg, Lasse Åberg, Tobias Jacobsson",4.5,25 Dec 2011,https://www.imdb.com/title/tt1808587,Popular character Stig-Helmer Olsson recounts his life as he reminisces on his youth and trying to track down his first love.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdlJ8tTuOGQ05xwDAAZoZ5DwizI5MZ1bgcursItZXlDa7fM8LO0viXHKoPxU20glFQL7dHaBu-uv8nPBV3_QQEsBPQ.jpg?r=dec
To Kill a Child,"Short, Drama",Movie,"José Esteban Alenda, César Esteban Alenda","José Esteban Alenda, Victoria Ruiz, César Esteban Alenda","Manolo Solo, Roger Príncep, Cristina Marcos, Roger Álvarez",7.7,07 Feb 2011,https://www.imdb.com/title/tt1930402,A car accident involving a young child takes a devastating toll in this 9-minute film based on the 1948 short story by writer Stig Dagerman.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVw0K_2t1GJtJ0ySMSoglb6DXX9izzwMyKxEYqfkY_k8-rFSoXLnaIxq2YLWs_sUtbRAiCjeXTUuOdOOdaD-zmV7Jw.jpg?r=4b1
Joker,"Crime, Drama, Thriller",Movie,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",8.4,04 Oct 2019,https://www.imdb.com/title/tt7286456,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeslXp6h2-qkqlqXUU569-RwKdu37HSTPQTjzxVn1KnoCC5BHf1MPTD_fsTI5XkMR2gns_TRHNpt74or_hV6OfPtHg.jpg?r=ce4
I,"Action, Adventure, Fantasy, Sci-Fi",Movie,George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,19 May 1999,https://www.imdb.com/title/tt0120915,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRslzvcxZlMteszOYTpkvInxwXS5crWhEcHEvBD5Toybfj6KivkEIOJaAXvqDh3VCwvigHiF8dzdH3Y0Scgt3q5TA.jpg?r=619
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery",Movie,David Yates,"Steve Kloves, J.K. Rowling","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",8.1,15 Jul 2011,https://www.imdb.com/title/tt1201607,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGQymPz2RK3LajCem7mtwGhaN1dwRFEt2WgL6lUac9dEyOap0uL3k8zw4nlMhJfXJZ9usVahLUcE1BS5sHvzYt8-g.jpg?r=144
Gyllene Tider,Music,Movie,Lasse Hallström,,"Micke Andersson, Anders Herrlin, Göran Fritzson, Per Gessle",7.7,,https://www.imdb.com/title/tt0477437,This music documentary offers backstage interviews and concert footage of the Swedish pop group at the peak of their popularity in the early 80s.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR0xiok4opMDOL2S7WN-hmVQI0_1l6nEW8_KtWRvXdff80yCZI9FV-Bc7vXhlICcrpxV_DobT83ANO7eNhnnXbW3Bw.jpg?r=599
False As Water,"Drama, Thriller",Movie,Hans Alfredson,Hans Alfredson,"Marie Göranzon, Stellan Skarsgård, Sverre Anker Ousdal, Malin Ek",6.3,08 Nov 1985,https://www.imdb.com/title/tt0089124,The illicit romance between a married publisher and a poet turns fraught when strange happenings in her apartment push her mental health to the brink.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUrvNdCFAiVqptsOvCQTtIdBFy6IpLZ5fjup2bpVsD5cp61akDTkCS-IhhUWEQuCtqlawIWwpJlAhu7jnqbsZgqcFQ.jpg?r=144
Bang!,Short,Movie,Robert Breer,,,5.6,,https://www.imdb.com/title/tt0482899,A lonely teacher muddles through a midlife crisis as he navigates romantic relationships and tries his hand at composing experimental music.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfK9FZtfxzbvAWcHFcw7qo_uOXwulvc5HfVzEY29RMfpnQ7IAQ4FPbvkFhbwjFcga4_bU_v1-MC5iOtqLM788MU-Gw.jpg?r=a77
A Guest Is Coming,Thriller,Movie,Arne Mattsson,Stieg Trenter,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",5.4,03 Nov 1947,https://www.imdb.com/title/tt0039314,A sleuthing writer investigates the strange murder of an old man who decided to sell his manor against his family’s wishes.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWoHHUpbWIY8VKwUooY4yhBfqLPptgW1AcP58JLI2DaZxJ0-6wkgn_UyZqfAkceFY5UN2OPb9Fi-VGbt5QbvcNGObQ.jpg?r=436
1939,Drama,Movie,Göran Carmback,"Catti Edfeldt, Kjell Sundstedt, Brasse Brännström","Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",5.5,25 Dec 1989,https://www.imdb.com/title/tt0096737,"A young woman in neutral Sweden during World War II moves to Stockholm, where she marries a man who turns out to be different than what she imagined.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABShlYcXKbpFrDZwepvKXxETBfNe6QfUKRhBY19-0IOKcF3fzaehQkFvTItnFitKekO7Bu0aD_boi8YntOv-h5jHnvQ.jpg?r=b8e
Girls und Panzer das Finale,"Animation, Action, Comedy",Series,Tsutomu Mizushima,Reiko Yoshida,"Mami Ozaki, Ikumi Nakagami, Mai Fuchigami, Ai Kayano",7.3,09 Dec 2017,https://www.imdb.com/title/tt7833606,"The girls on Oarai’s tankery team look forward to finishing out the school year in peace, but before they know it, theyre back on the battlefield.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaK9q-Rjx426FnWTjqNN21t4L7qa_6JwY6POQdGhTsEgapMMMyICvr9i_2iQyHqXqmWtMXqoHMqBqIdN3Mxq8brPEw.jpg?r=c4c
Indoo Ki Jawani,"Comedy, Drama",Movie,Abir Sengupta,Abir Sengupta,"Rakesh Bedi, Aditya Seal, Kiara Advani, Iqbal Khan",1.4,11 Dec 2020,https://www.imdb.com/title/tt11112526,"A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.",https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYUdNO_FykQWCooFglY99oT3ARQd5ofK1pyv1Vuo53jVzHV2dL1gThYb_Re0BwDe2eGy17-Z9di2rPL1vaemPssSyA.jpg?r=92f
The Coroner,"Crime, Drama",Series,,Sally Abbott,"Beatie Edney, Claire Goose, Oliver Gomm, Matt Bardock",7.0,16 Nov 2015,https://www.imdb.com/title/tt5194866,"Months after a personal tragedy, a doctor takes a job as a coroner and investigates a series of suspicious deaths in Toronto.",https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcL59DePgdbhwJrqKNtBYNKeh1Khng5vhHwe-pCI8ORkNsXoGW60etTDZJ8emwnyGdIYcynjuyCqgKjuHefnz1tvSA.jpg?r=085
Brave New World,"Drama, Sci-Fi",Series,,"David Wiener, Brian Taylor, Grant Morrison","Nina Sosanya, Harry Lloyd, Jessica Brown Findlay, Alden Ehrenreich",7.1,15 Jul 2020,https://www.imdb.com/title/tt9814116,"When a rebellious stranger arrives from another land, the residents of New London begin to question the rules of their seemingly utopian society.",https://occ-0-4815-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQWZKAFgMDretae7r8MOZPpWNNbrTQ9JMpyh2nitTypUrRj9YqOipgrghiDKSc0vjET-3ek7N2SCPpYiQOiSNgBtUuVYzMkHAFACgXaiRrK8VwRvgF4SJvfTgDI.jpg?r=4fd
Comrades: Almost a Love Story,"Drama, Romance",Movie,Peter Ho-Sun Chan,Ivy Ho,"Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung",8.1,02 Nov 1996,https://www.imdb.com/title/tt0117905,Two young Chinese mainlanders transplanted to Hong Kong -- naive Xiao-Jun Li and street-smart Qiao Li -- become fast friends and then try not to fall in love despite their deepening feelings for each other.,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSEIllKFaCWQgeDMBxLfPCVosg_2Qc5WIjNRdUO8Dg08515ToaiU8uy3CtqOJwCXGpyjv1p1bQRn_Q_uCBIxCDostA.jpg?r=bf4
The Closet,Comedy,Movie,Francis Veber,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",7.0,10 Aug 2001,https://www.imdb.com/title/tt0243493,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVQSpoTkZ1zFLtdAsNOUvkFxbwJdOqu7TjHJpnSWYWSEhRWZCaeKv8b9icqqFr1vJFPCC6973kAxhK9pXRN659mkFA.jpg?r=fab
The Mysterians,"Action, Family, Sci-Fi, Thriller",Movie,Ishirô Honda,"Shigeru Kayama, Jôjirô Okami, Takeshi Kimura","Yumi Shirakawa, Akihiko Hirata, Kenji Sahara, Momoko Kôchi",6.2,15 May 1959,https://www.imdb.com/title/tt0050251,Mankind is faced with an impossible choice when an alien race requests the use of a small plot of land and permission to procreate with Earth’s women.,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZVzi2om7uy20h0QVDFxBDVsS4HHq55AWLqEPAduenfw3mcE5BoE8a7wbP48wTIp71l2jJ0l_62lY_di5GsGyIt5mA.jpg?r=b29
No Longer Human,"Biography, Drama, Thriller",Movie,Mika Ninagawa,Kaeko Hayafune,"Tatsuya Fujiwara, Kengo Kôra, Yûdai Chiba, Rie Miyazawa",5.9,13 Sep 2019,https://www.imdb.com/title/tt10065976,"Writer Osamu Dazai vacillates between life, death and three separate women, wallowing in his own moral filth in reckless pursuit of artistic inspiration.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcCX0K7vwyKPy7w-gYeKO8sd3J4ulnYbt_H8uFpfB0Bm1Msk6Wj5SXtF2w726QDTvReEiiBpJWSRjO1odimGx40Zlg.jpg?r=b16
Repast,Drama,Movie,Mikio Naruse,"Sumie Tanaka, Yasunari Kawabata, Fumiko Hayashi, Toshirô Ide","Yukiko Shimazaki, Setsuko Hara, Ken Uehara, Yôko Sugi",7.7,23 Nov 1951,https://www.imdb.com/title/tt0043801,A woman struggles to keep her spirit alive through the drudgery of married existence after she moves from Tokyo to Osaka with her husband.,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa8bcUtXvw0jVpkv1vSpYrSltpFEaJpbqpcq_CS72vBOl41lFhwKkGbXjx0mgmapY3pDntAO3unAu6Kz0TwdbM3qSw.jpg?r=cea
Sway,"Crime, Drama",Movie,Miwa Nishikawa,Miwa Nishikawa,"Masatô Ibu, Hirofumi Arai, Joe Odagiri, Teruyuki Kagawa",7.2,08 Jul 2006,https://www.imdb.com/title/tt0809535,"When a Tokyo photographer returns home for his mother’s memorial service, old grudges ignite into tragedy. His brother is arrested, but who is to blame?",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVWGzyIyHTMoky6nCFDWN9X0SkV0aKNcf5IQYqSOLVWtvZnPfCKoNrNrs0XM1zIXGCZxc-FgtGJyV0w9CqO_4bltNA.jpg?r=a7e
When a Woman Ascends the Stairs,Drama,Movie,Mikio Naruse,Ryûzô Kikushima,"Hideko Takamine, Tatsuya Nakadai, Masayuki Mori, Reiko Dan",8.1,25 Jun 1963,https://www.imdb.com/title/tt0054144,"Faced with few options, a widowed bar hostess entertaining businessmen in the cutthroat Ginza district tries desperately to better her circumstances.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRMZajRbznx7HG_ZQXme1GTGDcQ9sBKTSghBFjSrcfCTMdoxSWiWN6gqokRSQFv5k-LrKRRkVRfFjbIJJqd8k4CpUQ.jpg?r=af1
Yearning,Drama,Movie,Mikio Naruse,"Zenzô Matsuyama, Mikio Naruse","Hideko Takamine, Yumi Shirakawa, Mitsuko Kusabue, Yûzô Kayama",8.1,23 Oct 1964,https://www.imdb.com/title/tt0058349,"A widow is tormented by the mean-spirited scheming of her late husband’s family, and by her rakish young brother-in-law’s sudden declaration of love.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSlHXSqzaPUDv_kLXgmmXhBu5RsRNvp6zCkTrwIzLKoU0Ur0lINmZOvb7oLpplW8CUkltEyjqFu-HcTlY1EixrL6vA.jpg?r=e74
Gorath,"Action, Family, Sci-Fi, Thriller",Movie,Ishirô Honda,"John Meredyth Lucas, Jôjirô Okami, Takeshi Kimura","Yumi Shirakawa, Kumi Mizuno, Akira Kubo, Ryô Ikebe",5.8,15 May 1964,https://www.imdb.com/title/tt0056709,"With a gravitationally dense runaway star on a collision course with Earth, scientists devise a daring plan to shift our planet out of harm’s way.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfnCsnAy4_0E6Swmn_u7UMdVkFUjiF0y8OAiPzZwkm8Uvs648OMrwMc5L7XXnq3FCrkJP0GYMrgjVOn1sizHqRBSBQ.jpg?r=74b
Ginza Cosmetics,Drama,Movie,Mikio Naruse,"Matsuo Kishi, Tomoichirô Inoue","Yûji Hori, Kyôko Kagawa, Ranko Hanai, Kinuyo Tanaka",6.9,14 Apr 1951,https://www.imdb.com/title/tt0043587,A bar hostess in Ginza struggles to make ends meet while parenting her son as she grapples with loyalty to her friends and customers expectations.,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRZjZyx_V4acLZ65kKZsgD-m5xnbVDipXMO2GdS-CzFr2LiHvwOn-WgU2Yb4KKTGjiXnoO49sBttCZhszhJI0818ug.jpg?r=297
Floating Clouds,"Drama, Romance",Movie,Mikio Naruse,"Yôko Mizuki, Fumiko Hayashi","Hideko Takamine, Isao Yamagata, Mariko Okada, Masayuki Mori",7.7,06 Jun 1980,https://www.imdb.com/title/tt0048757,"Returning to Japan after the war, a woman rekindles her affair with a man she met in French Indochina, but she remains unmoored in postwar society.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSlWcB7SMuLfDSiJnQWt5-yyGPMkNZpq3JyUIv_0sNC2Hq4JLU_tdgslRFck_zzwfeUN6Ot5cxmTIbdSbtqpRZ9CWg.jpg?r=e06
Cheer Boys!!,"Animation, Drama, Sport",Movie,,,"Jarrod Greene, Cris George, Dallas Reid, Justin Pate",6.4,05 Jul 2016,https://www.imdb.com/title/tt5921946,"After an injury ends his judo career, a college student and his best friend start a mens cheer team, assembling a squad of misfits to aim for the top.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWD_eZLpyP-fNWORyUgFZ07nBKpUA9bbbYYSqtudO-ENFp7Gmn3s9n-lzoMtNkVy43YzCXdhcrjHKYSMU2-Xr2DiBA.jpg?r=1e0
365 Nights,,Movie,Kon Ichikawa,"Kennosuke Tateoka, Masajiro Tojima","Hideko Takamine, Chizuko Nogami, Yûji Hori, Ken Uehara",5.5,,https://www.imdb.com/title/tt0040065,Kuroku flees Osaka — where his nearly bankrupt father is pressuring him to marry the daughter of a wealthy man — and falls for a young woman in Tokyo.,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW2i2m8ADR3AjZdidHvuCDWY6Z9xJc_26IaEUJ4htzz0YaJelnvx8RixZf3VhkdvTKItexjmTZWUgTVvHQfXECf9XQ.jpg?r=e52
Restart After Come Back Home,"Drama, Romance",Movie,Ryûta Inoue,Kumiko Satô,"Masahiro Kômoto, Yukijirô Hotaru, Eri Murakawa, Yûki Furukawa",7.2,04 Sep 2020,https://www.imdb.com/title/tt12530960,"Mitsuomi moves back home after ten exhausting years in the city, where his growing affection for a guy in the neighborhood helps heal his weary soul.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZA7nHHA2FOCUHxg7PE_R5AjCaSia5Vs_06tqMenRLQXB6wecNrh-tBO1a71W45hqBoGKsDOz1ncJ8bEeTjpMKSZpQ.jpg?r=75a
Trial by Fire,"Biography, Drama",Movie,Edward Zwick,"Geoffrey Fletcher, David Grann","Laura Dern, Jack O'Connell, Emily Meade, Chris Coy",6.9,17 May 2019,https://www.imdb.com/title/tt3263946,A woman who develops a close relationship with a death row inmate sets out to prove the man was wrongfully convicted of killing his children in a fire.,https://occ-0-4169-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZQ2e6Q_ZKFYoJWGB5tzFRhd6zmcE3dHIH34FJOQpS8xoYTV1vyhdo8FrLaMYINGl_HP0ZvmjmTsaq98-lM54K46sg.jpg?r=21d
5 Minute,Comedy,Movie,,,Jeff Lewis,8.6,12 Oct 2010,https://www.imdb.com/title/tt1809071,"When a violent homophobic attack breaks out during a film screening, a bold journalist pursues justice for the LGBTQ community. Based on true events.",https://occ-0-3031-3467.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW4xj0sbH8ZOtV2hBDPziErA50uM-8tcLYJ0EZSqx3wrmhD9NRDKetfA-9ga9fc3lpCaUGcrOrCKhsyv0oXdnUz-YA.jpg?r=2d4
Dilili in Paris,"Animation, Adventure, Family, Mystery",Movie,Michel Ocelot,Michel Ocelot,"Prunelle Charles-Ambron, Bruno Paviot, Natalie Dessay, Enzo Ratsito",7.0,04 Oct 2019,https://www.imdb.com/title/tt7169514,"After stowing away on a ship from New Caledonia, Dilili sets out to solve the mystery behind the kidnappings of young girls in Paris.",https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdKKrb2--RFLcGDAgxq5_7qP9q3IMXfQeJF8F76i-6gten_wYSVizCqS4rwe0GaS62dtIeqOdXVbQDG5cJDIZDtPtQ.jpg?r=846
